Track file,G:\Water Maze Data\xxx_0001\data\track_00001.trk
Object,0
Samples,1500
Name,9,
Goal Position,NE,
Comment,,
Trial,1,
Sample no.,Time,X,Y,Area,ZONES [Acquisition Zonedef],ZONES [after rec],Distance to zone [Arena],Distance to zone border [Arena],Distance to point [Arena],Distance moved,Velocity
1,0.0000,220.9763,140.4269,133.0000,wall,q1,0.0000,1.4695,97.5447,-,-
2,0.0800,220.2634,141.4961,116.0000,wall,q1,0.0000,1.5939,97.3074,1.2851,16.0633
3,0.1600,219.9070,142.2089,97.0000,wall,q1,0.0000,1.5939,97.2670,0.7970,9.9621
4,0.2400,219.5506,142.9217,80.0000,wall,q1,0.0000,1.5939,97.2330,0.7970,9.9621
5,0.3200,219.9070,142.9217,76.0000,wall,q1,0.0000,1.2851,97.5578,0.3564,4.4552
6,0.4000,219.9070,142.5653,66.0000,wall,q1,0.0000,1.4695,97.4118,0.3564,4.4552
7,0.4800,219.9070,143.2782,54.0000,wall,q1,0.0000,1.1271,97.7049,0.7128,8.9103
8,0.5600,219.9070,143.6346,33.0000,wall,q1,0.0000,1.0081,97.8530,0.3564,4.4552
9,0.6400,210.9967,143.9910,42.0000,wall,q1,0.0000,8.7666,89.9943,8.9175,111.4682
10,0.7200,211.3531,145.0602,55.0000,wall,q1,0.0000,8.0094,90.8038,1.1271,14.0885
11,0.8000,211.7095,145.4166,63.0000,wall,q1,0.0000,7.5523,91.2853,0.5040,6.3006
12,0.8800,212.4223,146.1295,55.0000,wall,q1,0.0000,6.6297,92.2488,1.0081,12.6011
13,0.9600,213.8480,146.1295,32.0000,wall,q1,0.0000,5.2985,93.5100,1.4257,17.8207
14,1.0400,213.8480,145.4166,20.0000,wall,q1,0.0000,5.5788,93.1820,0.7128,8.9103
15,1.1200,213.1352,143.2782,26.0000,wall,q1,0.0000,7.1727,91.5839,2.2542,28.1769
16,1.2000,209.5710,139.3576,143.0000,wall,q1,0.0000,12.1181,86.6762,5.2985,66.2308
17,1.2800,202.4428,134.3678,119.0000,wall,q1,0.0000,20.7211,78.1235,8.7012,108.7645
18,1.3600,200.3043,131.1601,77.0000,center,q1,0.0000,24.0070,74.9004,3.8552,48.1900
19,1.4400,219.5506,142.9217,113.0000,wall,q1,0.0000,1.5939,97.2330,22.5556,281.9455
20,1.5200,220.2634,141.8525,149.0000,wall,q1,0.0000,1.4695,97.4496,1.2851,16.0633
21,1.6000,198.8786,124.0318,110.0000,center,q1,0.0000,27.8391,71.1418,27.8368,347.9596
22,1.6800,197.8094,121.5369,113.0000,center,q1,0.0000,29.5716,69.4079,2.7144,33.9295
23,1.7600,196.3837,119.0421,107.0000,center,q1,0.0000,31.5521,67.3924,2.8735,35.9187
24,1.8400,194.9581,116.9036,112.0000,center,q1,0.0000,33.4535,65.5167,2.5701,32.1267
25,1.9200,193.5324,114.7651,109.0000,center,q1,0.0000,35.3353,63.6895,2.5701,32.1267
26,2.0000,191.7504,112.2702,104.0000,center,q1,0.0000,37.4505,61.5075,3.0660,38.3248
27,2.0800,189.9683,110.8445,105.0000,center,q1,0.0000,39.4348,59.5383,2.2822,28.5270
28,2.1600,187.8298,109.0625,106.0000,center,q1,0.0000,41.8387,57.1982,2.7837,34.7960
29,2.2400,185.3349,108.3497,110.0000,center,q1,0.0000,44.4146,54.6421,2.5947,32.4341
30,2.3200,182.4836,108.3497,112.0000,center,q1,0.0000,47.2312,51.8062,2.8513,35.6413
31,2.4000,180.3451,108.7061,115.0000,center,q1,0.0000,49.2844,49.7215,2.1680,27.0997
32,2.4800,177.8503,109.4189,118.0000,center,q1,0.0000,51.6221,47.3392,2.5947,32.4341
33,2.5600,175.7118,110.1317,110.0000,center,q1,0.0000,53.6304,45.3321,2.2542,28.1769
34,2.6400,173.9297,111.2010,115.0000,center,q1,0.0000,55.2395,43.7666,2.0782,25.9779
35,2.7200,171.0784,112.2702,117.0000,center,q1,0.0000,57.7445,41.2038,3.0452,38.0650
36,2.8000,169.2963,112.9830,111.0000,center,q1,0.0000,59.3029,39.6481,1.9193,23.9918
37,2.8800,166.8014,113.3394,104.0000,center,q1,0.0000,61.6193,37.3410,2.5202,31.5028
38,2.9600,165.0194,112.9830,102.0000,center,q1,0.0000,63.4095,35.5311,1.8174,22.7170
39,3.0400,163.2373,112.6266,113.0000,center,q1,0.0000,65.2012,33.7220,1.8174,22.7170
40,3.1200,162.1681,111.9138,118.0000,center,q1,0.0000,66.4546,32.4937,1.2851,16.0633
41,3.2000,161.4552,110.1317,108.0000,center,q1,0.0000,67.5984,31.3469,1.9193,23.9918
42,3.2800,161.4552,108.3497,120.0000,center,q1,0.0000,67.9965,30.9796,1.7821,22.2758
43,3.3600,162.1681,106.9240,115.0000,center,q1,0.0000,67.5015,31.4636,1.5939,19.9241
44,3.4400,163.2373,105.4983,120.0000,center,q1,0.0000,66.6579,32.3749,1.7821,22.2758
45,3.5200,165.0194,104.4291,123.0000,center,q1,0.0000,64.9025,34.0839,2.0782,25.9779
46,3.6000,166.8014,104.0727,131.0000,center,q1,0.0000,63.1345,35.8498,1.8174,22.7170
47,3.6800,168.5835,104.0727,123.0000,center,q1,0.0000,61.3538,37.6308,1.7821,22.2758
48,3.7600,170.7220,104.0727,124.0000,center,q1,0.0000,59.2172,39.7682,2.1385,26.7310
49,3.8400,172.8605,104.4291,122.0000,center,q1,0.0000,57.0662,41.9178,2.1680,27.0997
50,3.9200,175.3554,104.7855,122.0000,center,q1,0.0000,54.5604,44.4253,2.5202,31.5028
51,4.0000,177.1374,105.1419,120.0000,center,q1,0.0000,52.7684,46.2223,1.8174,22.7170
52,4.0800,179.2759,105.4983,119.0000,center,q1,0.0000,50.6220,48.3766,2.1680,27.0997
53,4.1600,181.4144,105.4983,112.0000,center,q1,0.0000,48.4840,50.5119,2.1385,26.7310
54,4.2400,183.5529,105.8548,121.0000,center,q1,0.0000,46.3392,52.6669,2.1680,27.0997
55,4.3200,185.3349,105.8548,114.0000,center,q1,0.0000,44.5574,54.4461,1.7821,22.2758
56,4.4000,187.4734,105.4983,115.0000,center,q1,0.0000,42.4267,56.5633,2.1680,27.0997
57,4.4800,189.6119,105.4983,114.0000,center,q1,0.0000,40.2889,58.6995,2.1385,26.7310
58,4.5600,191.3940,105.4983,112.0000,center,q1,0.0000,38.5075,60.4798,1.7821,22.2758
59,4.6400,193.5324,105.4983,108.0000,center,q1,0.0000,36.3699,62.6162,2.1385,26.7310
60,4.7200,194.9581,106.2112,111.0000,center,q1,0.0000,34.9303,64.0744,1.5939,19.9241
61,4.8000,196.7402,107.2804,107.0000,center,q1,0.0000,33.1464,65.9178,2.0782,25.9779
62,4.8800,198.1658,108.3497,105.0000,center,q1,0.0000,31.7048,67.4196,1.7821,22.2758
63,4.9600,199.5915,109.7753,111.0000,center,q1,0.0000,30.1101,68.9697,2.0162,25.2022
64,5.0400,201.0171,111.5574,109.0000,center,q1,0.0000,28.4283,70.5867,2.2822,28.5270
65,5.1200,202.0864,112.9830,99.0000,center,q1,0.0000,27.1296,71.8357,1.7821,22.2758
66,5.2000,203.1556,114.7651,104.0000,center,q1,0.0000,25.8197,73.1641,2.0782,25.9779
67,5.2800,203.5120,116.5472,99.0000,center,q1,0.0000,25.2022,73.8263,1.8174,22.7170
68,5.3600,204.2248,118.3292,105.0000,center,q1,0.0000,24.1232,74.8756,1.9193,23.9918
69,5.4400,204.5813,120.4677,102.0000,center,q1,0.0000,23.2572,75.6943,2.1680,27.0997
70,5.5200,204.9377,122.6062,101.0000,center,q1,0.0000,22.3889,76.5655,2.1680,27.0997
71,5.6000,205.2941,124.7447,101.0000,wall,q1,0.0000,21.5328,77.4877,2.1680,27.0997
72,5.6800,205.6505,126.8831,104.0000,wall,q1,0.0000,20.5178,78.4589,2.1680,27.0997
73,5.7600,206.0069,129.0216,102.0000,wall,q1,0.0000,19.3975,79.4775,2.1680,27.0997
74,5.8400,206.7197,131.1601,107.0000,wall,q1,0.0000,18.0227,80.8752,2.2542,28.1769
75,5.9200,207.0761,133.2986,108.0000,wall,q1,0.0000,16.9062,81.9799,2.1680,27.0997
76,6.0000,207.7890,135.4371,106.0000,wall,q1,0.0000,15.4619,83.4545,2.2542,28.1769
77,6.0800,208.1454,137.9320,93.0000,wall,q1,0.0000,14.0275,84.7852,2.5202,31.5028
78,6.1600,208.5018,139.7140,105.0000,wall,q1,0.0000,12.9148,85.8603,1.8174,22.7170
79,6.2400,208.8582,142.2089,97.0000,wall,q1,0.0000,11.4774,87.2795,2.5202,31.5028
80,6.3200,209.2146,144.3474,101.0000,wall,q1,0.0000,10.2620,88.5800,2.1680,27.0997
81,6.4000,209.2146,146.8423,106.0000,wall,q1,0.0000,8.9317,89.7768,2.4949,31.1862
82,6.4800,209.5710,148.9808,105.0000,wall,q1,0.0000,7.5185,91.1517,2.1680,27.0997
83,6.5600,209.5710,151.4757,110.0000,wall,q1,0.0000,6.2347,92.4403,2.4949,31.1862
84,6.6400,209.5710,152.9013,122.0000,wall,q1,0.0000,5.4404,93.1986,1.4257,17.8207
85,6.7200,209.5710,153.2577,112.0000,wall,q1,0.0000,5.2624,93.3906,0.3564,4.4552
86,6.8000,209.5710,152.5449,104.0000,wall,q1,0.0000,5.6354,93.0075,0.7128,8.9103
87,6.8800,209.2146,152.1885,88.0000,wall,q1,0.0000,6.1320,92.5159,0.5040,6.3006
88,6.9600,208.8582,152.1885,98.0000,wall,q1,0.0000,6.4253,92.2146,0.3564,4.4552
89,7.0400,208.5018,151.4757,88.0000,wall,q1,0.0000,7.1283,91.5329,0.7970,9.9621
90,7.1200,207.7890,151.8321,85.0000,wall,q1,0.0000,7.5185,91.1211,0.7970,9.9621
91,7.2000,206.3633,152.1885,91.0000,wall,q1,0.0000,8.6131,90.1173,1.4695,18.3691
