Time	X	Y
0	50.6107	69.857
0.08	49.5415	69.1442
0.16	50.6107	69.857
0.24	52.0363	70.9263
0.32	53.8184	71.9955
0.4	55.9569	72.3519
0.48	58.4518	71.9955
0.56	60.9467	71.6391
0.64	63.4416	70.9263
0.72	65.5801	70.2134
0.8	68.0749	69.5006
0.88	70.9263	68.0749
0.96	73.4211	67.0057
1.04	75.5596	65.5801
1.12	77.6981	63.798
1.2	79.8366	62.0159
1.28	81.6187	60.2339
1.36	83.4007	58.0954
1.44	84.8264	55.9569
1.52	85.8956	53.8184
1.6	86.6084	52.0363
1.68	87.3213	50.2543
1.76	88.3905	48.4722
1.84	89.8162	47.0466
1.92	90.529	45.9773
2	92.3111	45.2645
2.08	93.7367	44.1953
2.16	95.1624	43.8388
2.24	97.3008	43.126
2.32	98.7265	42.7696
2.4	100.865	42.0568
2.48	102.2906	41.7004
2.56	103.3599	41.3439
2.64	104.7855	40.2747
2.72	105.4983	39.5619
2.8	106.2112	38.1362
2.88	106.5676	36.7106
2.96	106.2112	34.9285
3.04	105.8548	33.8593
3.12	104.7855	32.79
3.2	103.7163	32.0772
3.28	102.647	31.7208
3.36	101.2214	31.7208
3.44	99.7957	32.0772
3.52	98.7265	32.79
3.6	97.6573	33.8593
3.68	96.9444	34.9285
3.76	96.588	36.3542
3.84	96.2316	37.7798
3.92	96.2316	39.2055
4	96.2316	40.6311
4.08	96.588	42.0568
4.16	96.2316	43.8388
4.24	96.2316	44.9081
4.32	95.8752	45.9773
4.4	95.1624	47.0466
4.48	94.4495	48.4722
4.56	93.0239	49.8979
4.64	92.3111	50.9671
4.72	91.5982	52.0363
4.8	90.8854	53.462
4.88	90.1726	54.8877
4.96	90.1726	56.3133
5.04	89.8162	57.739
5.12	90.1726	59.1646
5.2	90.529	60.9467
5.28	91.2418	62.0159
5.36	91.9546	63.4416
5.44	92.6675	64.5108
5.52	93.7367	65.2236
5.6	94.8059	66.2929
5.68	95.8752	67.0057
5.76	97.6573	68.0749
5.84	99.0829	68.4314
5.92	100.5086	69.1442
6	102.2906	69.857
6.08	104.0727	70.9263
6.16	106.2112	71.6391
6.24	107.2804	72.3519
6.32	109.0625	72.7083
6.4	110.4881	73.4211
6.48	112.6266	74.134
6.56	113.6959	74.4904
6.64	115.1215	75.2032
6.72	116.5472	75.916
6.8	117.6164	76.6289
6.88	118.6856	77.3417
6.96	119.7549	78.4109
7.04	120.4677	79.4802
7.12	121.5369	80.5494
7.2	121.8934	81.6187
7.28	122.6062	83.0443
7.36	123.319	84.47
7.44	124.0318	85.8956
7.52	124.7447	87.3213
7.6	125.8139	88.3905
7.68	126.8831	89.4597
7.76	128.6652	90.1726
7.84	130.0909	91.2418
7.92	131.8729	91.5982
8	133.655	92.3111
8.08	135.4371	93.0239
8.16	136.8627	93.7367
8.24	138.2884	94.4495
8.32	139.3576	95.5188
8.4	140.4269	96.588
8.48	141.4961	98.0137
8.56	142.5653	99.4393
8.64	143.2782	101.2214
8.72	143.6346	103.0035
8.8	144.3474	104.4291
8.88	144.7038	106.5676
8.96	145.0602	108.3497
9.04	145.0602	110.1317
9.12	145.4166	111.9138
9.2	145.4166	114.4087
9.28	145.7731	116.1907
9.36	146.1295	117.9728
9.44	146.4859	119.7549
9.52	146.8423	121.8934
9.6	147.1987	124.0318
9.68	147.5551	125.8139
9.76	147.5551	127.9524
9.84	147.9115	129.7345
9.92	147.9115	131.5165
10	147.5551	134.0114
10.08	147.1987	135.4371
10.16	146.4859	137.2191
10.24	146.1295	139.3576
10.32	145.4166	141.1397
10.4	144.7038	142.9217
10.48	143.991	144.7038
10.56	143.6346	146.4859
10.64	142.9217	148.6244
10.72	142.5653	150.4064
10.8	142.2089	152.1885
10.88	141.8525	153.9706
10.96	141.4961	156.109
11.04	140.7833	157.8911
11.12	140.0704	159.3168
11.2	139.3576	161.0988
11.28	138.6448	162.5245
11.36	138.2884	164.3065
11.44	137.932	165.7322
11.52	137.5755	167.5143
11.6	137.5755	169.6527
11.68	137.5755	171.4348
11.76	137.2191	173.2169
11.84	137.2191	174.6425
11.92	137.2191	176.4246
12	137.2191	178.2067
12.08	137.5755	179.9887
12.16	137.5755	181.7708
12.24	137.932	183.9093
12.32	137.932	185.3349
12.4	137.5755	186.7606
12.48	136.8627	188.5427
12.56	135.7935	189.6119
12.64	134.3678	191.0375
12.72	132.5858	192.1068
12.8	131.1601	192.8196
12.88	129.378	193.5324
12.96	127.9524	193.5324
13.04	126.1703	193.5324
13.12	125.1011	192.8196
13.2	123.6754	192.1068
13.28	122.6062	191.0375
13.36	121.1805	189.6119
13.44	120.1113	187.8298
13.52	119.0421	186.4042
13.6	118.3292	184.6221
13.68	117.6164	182.84
13.76	117.26	181.058
13.84	116.9036	178.9195
13.92	116.9036	176.781
14	116.5472	175.3554
14.08	116.1907	173.2169
14.16	115.8343	171.0784
14.24	115.4779	169.2963
14.32	114.7651	167.5143
14.4	114.4087	165.7322
14.48	114.0523	163.5937
14.56	113.6959	161.4552
14.64	113.6959	159.6732
14.72	113.3394	157.5347
14.8	113.3394	155.7526
14.88	112.983	154.327
14.96	112.983	152.9013
15.04	113.3394	152.1885
15.12	113.6959	151.8321
15.2	114.0523	151.8321
15.28	114.4087	151.8321
15.36	114.7651	151.8321
15.44	114.7651	151.8321
15.52	114.7651	151.8321
15.6	115.1215	152.1885
15.68	115.1215	152.1885
15.76	115.1215	152.1885
